,Date,Open,High,Low,Close,ticker_symbol,high_diff,id
0,2022-06-21,32.400002,33.681999,32.160999,32.825001,SHOP,0,e36341b9-f852-11ec-9f4b-cc6b1e4d9305
1,2022-06-22,32.438,34.825001,32.252998,33.854,SHOP,3.28,e36341b9-f852-11ec-9f4b-cc6b1e4d9305
2,2022-06-23,33.849998,36.527,33.213001,36.382999,SHOP,4.66,e36341b9-f852-11ec-9f4b-cc6b1e4d9305
3,2022-06-24,36.451,38.7897,36.382999,38.522999,SHOP,5.83,e36341b9-f852-11ec-9f4b-cc6b1e4d9305
4,2022-06-27,39.248001,39.5,35.828999,37.320999,SHOP,1.8,e36341b9-f852-11ec-9f4b-cc6b1e4d9305
5,2022-06-28,37.132,38.049,34.655998,35.026001,SHOP,-3.81,e36341b9-f852-11ec-9f4b-cc6b1e4d9305
6,2022-06-29,34.400002,34.98,32.470001,33.049999,SHOP,-8.77,e36341b9-f852-11ec-9f4b-cc6b1e4d9305
