,Date,Open,High,Low,Close,ticker_symbol,high_diff,id
0,2022-06-21,105.959999,107.061996,103.870003,106.389999,BABA,0,e2ae74a6-f852-11ec-9168-cc6b1e4d9305
1,2022-06-22,104.230003,107.099998,103.080002,105.150002,BABA,0.04,e2ae74a6-f852-11ec-9168-cc6b1e4d9305
2,2022-06-23,109.959999,113.089996,108.081001,112.110001,BABA,5.3,e2ae74a6-f852-11ec-9168-cc6b1e4d9305
3,2022-06-24,115.300003,118.089996,114.300003,117.620003,BABA,4.23,e2ae74a6-f852-11ec-9168-cc6b1e4d9305
4,2022-06-27,119.970001,121.379997,117.879997,118.730003,BABA,2.71,e2ae74a6-f852-11ec-9168-cc6b1e4d9305
5,2022-06-28,118.980003,120.93,116.510002,116.760002,BABA,-0.37,e2ae74a6-f852-11ec-9168-cc6b1e4d9305
6,2022-06-29,115.809998,117.089996,113.709999,116.029999,BABA,-3.28,e2ae74a6-f852-11ec-9168-cc6b1e4d9305
