,Date,Open,High,Low,Close,ticker_symbol,high_diff,id
0,2022-06-21,2.85,3.15,2.85,3.05,AZ,0,e435e3cc-f852-11ec-ae2f-cc6b1e4d9305
1,2022-06-22,3.15,3.15,2.93,3.01,AZ,0.0,e435e3cc-f852-11ec-ae2f-cc6b1e4d9305
2,2022-06-23,2.96,3.0,2.91,3.0,AZ,-5.0,e435e3cc-f852-11ec-ae2f-cc6b1e4d9305
3,2022-06-24,3.09,3.15,2.95,3.11,AZ,4.76,e435e3cc-f852-11ec-ae2f-cc6b1e4d9305
4,2022-06-27,3.15,3.15,2.92,3.0,AZ,0.0,e435e3cc-f852-11ec-ae2f-cc6b1e4d9305
5,2022-06-28,3.01,3.09,2.71,2.91,AZ,-1.94,e435e3cc-f852-11ec-ae2f-cc6b1e4d9305
6,2022-06-29,2.87,2.95,2.865,2.95,AZ,-4.75,e435e3cc-f852-11ec-ae2f-cc6b1e4d9305
