,Date,Open,High,Low,Close,ticker_symbol,high_diff,id
0,2022-06-21,133.419998,137.059998,133.320007,135.869995,AAPL,0,e086095a-f852-11ec-b3fa-cc6b1e4d9305
1,2022-06-22,134.789993,137.759995,133.910004,135.350006,AAPL,0.51,e086095a-f852-11ec-b3fa-cc6b1e4d9305
2,2022-06-23,136.820007,138.589996,135.630005,138.270004,AAPL,0.6,e086095a-f852-11ec-b3fa-cc6b1e4d9305
3,2022-06-24,139.899994,141.910004,139.770004,141.660004,AAPL,2.34,e086095a-f852-11ec-b3fa-cc6b1e4d9305
4,2022-06-27,142.699997,143.490005,140.970001,141.660004,AAPL,1.1,e086095a-f852-11ec-b3fa-cc6b1e4d9305
5,2022-06-28,142.130005,143.419998,137.320007,137.440002,AAPL,-0.05,e086095a-f852-11ec-b3fa-cc6b1e4d9305
6,2022-06-29,137.460007,140.669998,136.669998,139.229996,AAPL,-1.95,e086095a-f852-11ec-b3fa-cc6b1e4d9305
