,Date,Open,High,Low,Close,ticker_symbol,high_diff,id
0,2022-06-21,21.84,23.1,21.58,22.66,NIO,0,e1b34f18-f852-11ec-adea-cc6b1e4d9305
1,2022-06-22,22.34,23.129999,21.93,22.549999,NIO,0.13,e1b34f18-f852-11ec-adea-cc6b1e4d9305
2,2022-06-23,23.110001,23.209999,22.23,23.049999,NIO,0.34,e1b34f18-f852-11ec-adea-cc6b1e4d9305
3,2022-06-24,23.219999,24.17,23.16,24.08,NIO,3.97,e1b34f18-f852-11ec-adea-cc6b1e4d9305
4,2022-06-27,24.129999,24.43,22.85,22.950001,NIO,1.06,e1b34f18-f852-11ec-adea-cc6b1e4d9305
5,2022-06-28,22.360001,23.450001,22.02,22.360001,NIO,-4.18,e1b34f18-f852-11ec-adea-cc6b1e4d9305
6,2022-06-29,20.76,22.280001,20.6,21.860001,NIO,-5.25,e1b34f18-f852-11ec-adea-cc6b1e4d9305
