,Date,Open,High,Low,Close,ticker_symbol,high_diff,id
0,2022-06-21,165.929993,167.759995,155.970001,157.050003,META,0,e11a0eac-f852-11ec-97f1-cc6b1e4d9305
1,2022-06-22,158.380005,160.789993,155.440002,155.850006,META,-4.33,e11a0eac-f852-11ec-97f1-cc6b1e4d9305
2,2022-06-23,156.270004,159.75,154.25,158.75,META,-0.65,e11a0eac-f852-11ec-97f1-cc6b1e4d9305
3,2022-06-24,161.729996,170.25,161.300003,170.160004,META,6.17,e11a0eac-f852-11ec-97f1-cc6b1e4d9305
4,2022-06-27,171.320007,171.75,168.009995,169.490005,META,0.87,e11a0eac-f852-11ec-97f1-cc6b1e4d9305
5,2022-06-28,169.899994,171.300003,160.610001,160.679993,META,-0.26,e11a0eac-f852-11ec-97f1-cc6b1e4d9305
6,2022-06-29,163.570007,166.330002,160.320007,163.940002,META,-2.99,e11a0eac-f852-11ec-97f1-cc6b1e4d9305
